"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Käufer behauptet, dass die gelieferten Waren oder Dienstleistungen nicht dem Beschrieb entsprechen."
"By default it is ""reports.paypal.com"".","Standardmässig ist es ""reports.paypal.com""."
"Close","Schliessen"
"Complaint","Beschwerde"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Der Händler verwendet einen Bankkonto ausserhalb der Vereinigten Staaten und hat keine Überweisungsinformationen hinterlegt."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal unterstützt die Bestellabwicklung nur für Beträge grösser Null. Um Ihren Bestellvorgang abzuschliessen, fahren Sie bitte mit dem Standard-Checkout fort."
"Please select region, state or province","Bitte wählen Sie Region, Bundesland oder Kanton"
"Schedule description is too long.","Beschrieb für geplanten Vorgang ist zu lang."
"State/Province","Kanton/Bundesland"
"Street Address","Strasse"
"Street Address %s","Strasse %s"
"Uses store frontend name by default.","Verwendet standardmässig den Shop-Namen."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Möchten Sie eine Zahlungsvereinbarung mit PayPal abschliessen, um künftige Zahlungen zu vereinfachen?"
"You will be redirected to the PayPal website when you place an order.","Sie werden zur PayPal Webseite weitergeleitet wenn Sie die Bestellung abschliessen."
